10-Yard Fight	十码大战
Space Fever	太空热击
Space Harrier	时空哈利
Space Invaders	宇宙侵略者
Special Forces	特种部队
Spelunker	洞穴探险
Spikeout	锐击 - 战斗街头
Splash!	油漆天蚕变
Splendor Blast	辉煌疾风
Sport Fishing	业余钓鱼
Sprint	极速
Spy Hunter	抓间谍
Stadium Hero	棒球英雄
Stakes Winner	赛马王
Star Force	星际武力
Star Gladiator	星际悍将
Star Horse	明星马
Star Wars	银河战争
Star Wars Arcade	星际大战
Steel Gunner	反恐精英
Street Fighter	街头霸王
Street Fighter EX	街头霸王 EX
Street Games	街头狂想
Street Hoop	街头篮球
Strider	出击飞龙
Strikers 1945	打击者 1945
Sunset Riders	落日骑士
Super Dodge Ball	热血高校躲避球
Super Formula	超级方程式
Super Mario Bros.	超级马里奥兄弟
Super Mario Fushigi no Korokoro Party	超级马力欧 神秘派对
Super Real Mahjong	超真实麻将
Super Sidekicks	得点王
Super Spacefortress Macross	超时空要塞
Super Volleyball	超级排球
Suzuka 8 Hours	铃鹿 8 小时耐力机车赛
Sweet Hearts	甜心宝贝
Taiko no Tatsujin	太鼓达人
Taisen Hot Gimmick	彩京成人对战麻将
Taisen Mahjong Final Romance	对战麻将 - 最终罗曼史
Tank	坦克
Tank Battalion	坦克大战
Targ	赛车杀阵
Tecmo Bowl	Tecmo 橄榄球
Tecmo World Cup	Tecmo 世界杯
Teenage Mutant Ninja Turtles	忍者神龟
Tekken	铁拳
Tetris	俄罗斯方块
Tetris - The Grand Master	俄罗斯方块大师
Tetris Plus	俄罗斯方块 Plus
The Killing Blade	傲剑狂刀
The Legend of Kage	影子传说
The Magician	魔法师
The Pit	地底寻宝
The Rumble Fish	斗鱼
Thrill Drive	惊悚驾驶
Thunder & Lightning	雷电砖块
Thunder Cross	雷霆战机
Thunder Dragon	雷龙
Thunder Hoop	闪电投篮
Time Crisis	化解危机
Time Killers	时空杀手
Time Pilot	时空大战
Toffy	挖宝大作战
Tokoro San no MahMahjan	所先生的麻将
Tornado Baseball	旋风棒球
Touchmaster	触摸大师
Tower of Druaga	魂坉之塔
Toy's March	
Track & Field	金牌运动会
Triple Punch	占地为王
Triv Quiz	问答 百科解谜
Trivia	问答 百科
Trivia ? Whiz	问答 百科高手
Trivia Master	问答 百科大师
Trivial Pursuit	追根究底
Tron	电子世界争霸战
Truxton	骷髅战机
Twin Bee	兵蜂
Twin Cobra	究极虎
Twin Eagle	双鹰
TX-1	赛车 TX - 1
U.N. Squadron	战区 88
Uo Poko	小猫钓鱼
Vampire	吸血鬼
Vanguard	先锋号
Vapor Trail	空牙
Vasara	婆裟罗
Victor	征服者
Video Hustler	电视撞球
Video Pinball	电视弹珠台
Violence Fight	暴力格斗
Virtua Cop	VR 战警
Virtua Fighter	VR 战士
Virtua Striker	VR 射手
Virtua Tennis	VR 网球
Virtual Mahjong	VR 麻将
Virtual On - Cyber Troopers	电脑战机 虚拟世界
Viva Rock Vegas Slot	
V-Liner	赌博机
Wangan Midnight	湾岸午夜
Wave Runner	御风者
WEC Le Mans	婚礼钟声
Wild West Slot	狂野西部 Slot
Wing War	机翼之战
Winning Run	胜利之路
Witch Jack	女巫杰克
Wonder Boy	神奇男孩
Wonder League	奇妙联盟
World Class Bowling	世界杯保龄球
World Club Champion Football	世界杯冠军足球
World Combat	世界大战
World Court	世界球场 - 职业网球
World Heroes	世界英雄
World PK Soccer	世界足球PK大赛
World Rally	世界拉力赛车
World Series	世界系列
World Stadium	世界职业棒球竞技场
WWF Superstars	WWF 超级巨星
WWF Wrestlemania	世界摔角联盟摔角狂热赛
Xevious	铁板阵
Xexex	新锐惑星
X-Men	X 战警
Yu-Jan Yu-Ka	游雀 游华
Zaxxon	立体空战
Zero Gunner	零式枪手
Zero Point	零式枪战
Zero Team	零组特攻队
Zoids	机兽新世纪 / 索斯机械兽
