Arcade / Pinball	街机 / 弹珠
Quiz / Questions in Norwegian	问答 / 挪威语问题
Quiz / Questions in Spanish	问答 / 西班牙语问题
Redemption Game / Action	拯救游戏 游戏 / 动作
Redemption Game / Crane Machine	拯救游戏 游戏 / Crane Machine
Redemption Game / Driving	拯救游戏 游戏 / 驾驶
Redemption Game / Flying	拯救游戏 游戏 / 飞
Redemption Game / Pinball	拯救游戏 游戏 / 弹球
Redemption Game / Reaction	拯救游戏 游戏 / 反应
Redemption Game / Shooter	拯救游戏 游戏 / 射击者
Redemption Game / Soccer	拯救游戏 游戏 / 足球
Shooter / 2.5D	射击 / 2.5D
Shooter / Motorbike	射击 / 摩托车
Shooter / Outline	射击 / 描框
Shooter / Submarine	射击 / 潜艇
Shooter / Underwater	射击 / 水下
Simulation / Pet Management Simulation	模拟 / 宠物 管理 模拟
Slot Machine / Reels	老虎机 / 卷轴
Sports / Arm Wrestling	体育 / 扳手腕
Sports / Cards	体育 / 卡片
Sports / Gun	体育 / 枪
Sports / Misc.	体育 / 杂.
Sports / Rugby Football	体育 / Rugby 橄榄球
Sports / Volley - Soccer	体育 / Volley - 足球
System / BIOS	系统 / BIOS
Tabletop / Cards	桌面 / 纸牌
Tabletop / Go	桌面 / Go
Tabletop / Match	桌面 / Match
Tabletop / Multiplay	桌面 / 多人玩
Tabletop / Othello - Reversi	桌面 / 黑白棋 - Reversi
Touchscreen / Multi-Games	触屏 / 多游戏
TTL * Ball & Paddle / Breakout	TTL * 球 & 拍 / 打砖块
TTL * Ball & Paddle / Pong	TTL * 球 & 拍 / Pong
TTL * Driving / Demolition Derby	TTL * 驾驶 / 德比碰撞
TTL * Driving / Motorbike	TTL * 驾驶 / 摩托车
TTL * Driving / Race	TTL * 驾驶 / 速度竞赛
TTL * Driving / Race Track	TTL * 驾驶 / 赛道
TTL * Maze / Shooter Small	TTL * 迷宫 / 射击 小
TTL * Quiz / Questions in English	TTL * 问答 / 英语问题
TTL * Shooter / Field	TTL * 射击 / Field
TTL * Shooter / Flying 1st Person	TTL * 射击 / 飞 1st Person
TTL * Shooter / Flying Vertical	TTL * 射击 / 飞 竖
TTL * Shooter / Gallery	TTL * 射击 / 画廊
TTL * Shooter / Gun	TTL * 射击 / 枪
TTL * Shooter / Misc. Vertical	TTL * 射击 / 杂. 竖
TTL * Shooter / Underwater	TTL * 射击 / 水下
TTL * Shooter / Versus	TTL * 射击 / 对抗
TTL * Sports / Baseball	TTL * 体育 / 棒球
TTL * Sports / Horse Racing	TTL * 体育 / 赛马
Utilities / Arcade Switcher	Utilities / 街机 Switcher
Utilities / Arcade System	Utilities / 街机 系统
Utilities / On-board BUS Ticketing	
Utilities / PAL Demo	
Utilities / Redemption Board	
Utilities / Test	Utilities / 测试
Utilities / Update	Utilities / 升级
Utilities / Wave Synthesizer	Utilities / 波形合成器
Whac-A-Mole / Fighter	打地鼠 / 战士
Whac-A-Mole / Footsteps	打地鼠 / 足迹
Whac-A-Mole / Gun	打地鼠 / 枪
Whac-A-Mole / Hammer	打地鼠 / 锤子
Whac-A-Mole / Shooter	打地鼠 / 射击
Arcade: Medal Game / Shoot	街机: 奖牌游戏 / 射击
Tablet	
Utilities	
194X	
Interstellar	
Moero!!	
Neo Print	
P-47	
Toy's March	
Viva Rock Vegas Slot	
