32x aburner	冲破火网2 (欧洲)
a2600 asteroide	小行星 (PAL, 较老的)
a2600 asteroide03	小行星 (PAL, 修订版 03)
a2600 asteroide06	小行星 (PAL, 修订版 06)
a2600 astrchas	飞碟射击 (原型版)
a2600 ateam	A字特攻队 (原型版 19840330)
a2600 ateamp1	A字特攻队 (原型版 19840508)
a2600 ateamp2	A字特攻队 (PAL) (原型版)
a2600 atlantis	亚特兰蒂斯 (Imagic)
a2600 atlantis1	亚特兰蒂斯 (CCE)
a2600 atlantisa	亚特兰蒂斯 (Activision)
a2600 atlantisc	亚特兰蒂斯 (CCE) (替换版)
a2600 atlantisd	亚特兰蒂斯 (Digitel)
a2600 atlantisda	亚特兰蒂斯 (Dactari / Milmar)
a2600 atlantisdy	亚特兰蒂斯 (Dynacom)
a2600 atlantise	亚特兰蒂斯 (PAL) (Imagic)
a2600 autorenn	赛车轮毂 (PAL)
a2600 backgamm	西洋双陆棋
a2600 backgamme	西洋双陆棋 (PAL)
a2600 bankheis	银行抢劫
a2600 bankheise	银行抢劫 (PAL)
a2600 baseball	棒球 (PAL)
a2600 bchtprty	女子单身派对连连乐
a2600 bdash	岩层冲刺 (Demo v2)
a2600 bdash1	岩层冲刺 (Demo v1)
a2600 beamridr	激光骑士
a2600 beamridre	激光骑士 (PAL)
a2600 bermtria	百慕大三角
a2600 bermtriae	百慕大三角 (PAL)
a2600 bermuda	百慕大群岛 (Rainbow Vision)
a2600 bermudae	百慕大群岛 (PAL)
a2600 bermudast	百慕大群岛 (Starsoft)
a2600 berzerk	迷宫射击
a2600 berzerkc	迷宫射击 (CCE)
a2600 berzerke	迷宫射击 (PAL)
a2600 berzerke1	迷宫射击 (PAL) (未知)
a2600 berzerke2	迷宫射击 (PAL) (anknown, 替换版)
a2600 bingo	75宾果 (PAL)
a2600 blackhol	黑洞 (PAL)
a2600 blckjacke	黑捷克 (PAL)
a2600 blckjacke1	黑捷克 (PAL) (未知)
a2600 bnj	碰碰飞车
a2600 bnje	碰碰飞车 (PAL)
a2600 boombang	爆破 (CCE)
a2600 boombang1	爆破 (未知)
a2600 boombange	爆破 (PAL) (HES)
a2600 boombange1	爆破 (PAL) (未知)
a2600 boombanges	爆破 (PAL) (Suntek)
a2600 bowling	保龄球
a2600 bowlinge	保龄球 (PAL)
a2600 bowlingm	保龄球 (Milmar)
a2600 boxingc	拳击 (CCE)
a2600 boxinge1	拳击 (PAL)
a2600 boxingm	拳击 (Milmar)
a2600 breakoute	爆发 (PAL)
a2600 bsktball	篮球
a2600 bsktballe	篮球 (PAL)
a2600 btime	汉堡时代
a2600 buckrog	巴克罗杰斯-行星区域
a2600 buckroge	巴克罗杰斯-行星区域 (PAL)
a2600 burndesi	欲望燃烧
a2600 burndesie	欲望燃烧 (PAL)
a2600 bzone	战区
a2600 bzonee	战区 (PAL)
a2600 bzonep1	战区 (原型版 19830502)
a2600 bzonep2	战区 (原型版 19830512)
a2600 calgames	加州运动
a2600 calgamese	加州运动 (PAL)
a2600 canyonb	峡谷轰炸机
a2600 carnival	狂欢节
a2600 carnivale	狂欢节 (PAL)
a2600 casinoe	赌城小子 (PAL)
a2600 ccastles	水晶城堡
a2600 ccastlese	水晶城堡 (PAL)
a2600 ccastlesp	水晶城堡 (原型版 19840104)
a2600 cclimber	疯狂爬楼者
a2600 centiped	蜈蚣
a2600 centipede	蜈蚣 (PAL)
a2600 centipedep	蜈蚣 (PAL) (原型版)
a2600 centipedp	蜈蚣 (原型版)
a2600 checkers	跳棋
a2600 checkersssc	跳棋 (2600 Screen Search Console)
a2600 chmpsocre	足球锦标赛 (PAL)
a2600 chopcomm	直升机指令
a2600 chopcommc	直升机指令 (CCE)
a2600 chopcommc1	直升机指令 (CCE, 替换版)
a2600 chopcommd	直升机指令 (Digitel)
a2600 chopcommes	直升机指令 (PAL) (SuperVision)
a2600 chopcommssc	直升机指令 (2600 Screen Search Console)
a2600 chucknor	查克·诺里斯的超级踢
a2600 circus	马戏团
a2600 codebreke	GBA金手指密码工具 (PAL)
a2600 combate	战斗 (PAL)
a2600 comchess	计算机国际象棋 (原型版 19780707)
a2600 commando	战场之狼
a2600 commando1	战场之狼 (替换版 logo)
a2600 commandoe	战场之狼 (PAL)
a2600 congo	刚果阿古
a2600 congo1	刚果阿古 (替换版)
a2600 congoe	刚果阿古 (PAL)
a2600 cosmicav	宇宙复仇者 (PAL)
a2600 crossbow	弩手
a2600 crossbowe	弩手 (PAL)
a2600 custer	卡斯特的复仇
a2600 custere	卡斯特的复仇 (PAL)
a2600 ddragon	双截龙
a2600 ddragone	双截龙 (PAL)
a2600 ddragonec	双截龙 (PAL) (CCE)
a2600 decathln2	十项全能运动
a2600 defender	防御者
a2600 defenderc	防御者 (CCE)
a2600 defenderdv	防御者 (Digivision)
a2600 defendere	防御者 (PAL)
a2600 defendere1	防御者 (PAL) (未知)
a2600 defenderp	防御者 (原型版 198111xx)
a2600 defenderp1	防御者 (原型版 19811030)
a2600 defendr2	星际之门
a2600 defendr2e	星际之门 (PAL)
a2600 demonatk	恶魔进攻
a2600 demonatkc	恶魔进攻 (CCE)
a2600 demonatke	恶魔进攻 (PAL)
a2600 demonatke1	恶魔进攻 (PAL) (未知)
a2600 demonatkf	恶魔进攻 (修复?)
a2600 demonatkr	恶魔进攻 (Robby)
a2600 demonatks	恶魔进攻 (Supergame)
a2600 digdug	挖金子
a2600 digduge	挖金子 (PAL)
a2600 dkong	大金刚
a2600 dkonge	大金刚 (PAL)
a2600 dkongepb	大金刚 (PAL) (Pet Boat)
a2600 dkongjr	大金刚J
a2600 dkongjrc	大金刚JR (CCE)
a2600 dkongjre	大金刚J (PAL)
a2600 dkongjrt	大金刚Jr. (Tron)
a2600 dkongs	大金刚 (Star Game)
a2600 docastle	小丑先生的城堡
a2600 docastlep	小丑先生的城堡 (晚期 原型版)
a2600 docastlep1	小丑先生的城堡 (原型版 19840312)
a2600 dragfire	龙之火焰
a2600 dragfiree	龙之火焰 (PAL)
a2600 dragfiree1	龙之火焰 (PAL) (未知)
a2600 dune	沙丘 (原型版 19840710)
a2600 earthatt	地球攻击
a2600 elevator	电梯大战 (原型版)
a2600 elfadven	精灵历险 (原型版 19830525)
a2600 elfadven1	精灵历险 (原型版 19830502)
a2600 elfadven2	精灵历险 (原型版 19830422)
a2600 enduro	汽车耐力赛
a2600 enduro1	汽车耐力赛 (未知)
a2600 enduroc	汽车耐力赛 (CCE)
a2600 endurodi	汽车耐力赛 (Digitel)
a2600 endurodv	汽车耐力赛 (Digivision)
a2600 endurody	汽车耐力赛 (Dynacom)
a2600 enduroe1	汽车耐力赛 (PAL) (未知)
a2600 enduror	汽车耐力赛 (Robby)
a2600 enduros	汽车耐力赛 (Supergame)
a2600 endurot	汽车耐力赛 (Tron)
a2600 entewolf	僵尸鸭与僵尸狼 (PAL)
a2600 entombed	埋葬
a2600 esb	星球大战-帝国反击战
a2600 esbe	星球大战-帝国反击战 (PAL)
a2600 espial	星球战略
a2600 espiale	星球战略 (PAL)
a2600 et	外星人-着陆
a2600 etc	外星人-着陆 (CCE)
a2600 ete	外星人-着陆 (PAL)
a2600 f14	F-14雄猫 (PAL)
a2600 fatalrun	死亡冲刺 (PAL)
a2600 fatalrunp	死亡冲刺 (原型版)
a2600 fathom	深海探寻
a2600 fathome	深海探寻 (PAL)
a2600 festival	欢宴 (PAL)
a2600 feuerweh	消防车 (PAL)
a2600 ffighter	消防员
a2600 ffightere	消防员 (PAL)
a2600 finalapp	愛情泡泡糖
a2600 firebird	火鸟 (PAL)
a2600 flashg	飞侠哥顿 (PAL)
a2600 football	足球
a2600 footballe	足球 (PAL)
a2600 frantic	狂热分数 (20140305, NTSC)
a2600 freeway	自由之路
a2600 freewayc	自由之路 (CCE)
a2600 freewaym	自由之路 (Milmar)
a2600 freewayz	自由之路 (Zellers)
a2600 frogger	青蛙过街
a2600 froggere	青蛙过街 (PAL)
a2600 frontlin	前线
a2600 funkyfis	疯狂的鱼 (原型版)
a2600 fvoyage	怪诞旅程
a2600 galaxian	小蜜蜂
a2600 galaxianc	小蜜蜂 (CCE)
a2600 galaxiandv	小蜜蜂 (Digivision)
a2600 galaxiane	小蜜蜂 (PAL)
a2600 galaxianp1	小蜜蜂 (原型版 19830105)
a2600 galaxianp2	小蜜蜂 (原型版 19830204)
a2600 garfield	加菲猫 (原型版 19840621)
a2600 gauntlet	铁手套
a2600 ghostbs2	捉鬼敢死队2 (PAL)
a2600 ghostbs2a	捉鬼敢死队2 (PAL) (替换版 tune)
a2600 ghostbst	捉鬼特工队
a2600 ghostbste	捉鬼特工队 (PAL)
a2600 ghostman	鬼魂庄园
a2600 ghostmane	鬼魂庄园 (PAL)
a2600 golf	高尔夫
a2600 golfe	高尔夫 (PAL)
a2600 gorf	高尔夫
a2600 gorfe	高尔夫 (PAL)
a2600 gorfp	高尔夫 (原型版)
a2600 grandprx	国际长途大赛车
a2600 grandprxc	国际长途大赛车 (CCE)
a2600 grandprxc1	国际长途大赛车 (CCE, 替换版)
a2600 grandprxe	国际长途大赛车 (PAL)
a2600 grandprxe1	国际长途大赛车 (PAL) (未知)
a2600 grandprxr	国际长途大赛车 (Robby)
a2600 gravitar	银火
a2600 gravitarc	银火 (CCE)
a2600 gravitarp	银火 (原型版 19830412)
a2600 gremlins	小魔怪
a2600 gremlinsp	小魔怪 (原型版 19840312)
a2600 guardian	星球守护者
a2600 guardianp	星球守护者 (原型版)
a2600 gyruss	太空射击战
a2600 gyrusse	太空射击战 (PAL)
a2600 hangmane	刽子手 (PAL)
a2600 harem	回门
a2600 haunted	鬼屋 (NTSC)
a2600 hauntede	鬼屋 (PAL)
a2600 hauntedp	鬼屋 (原型版 09-28-81)
a2600 hero	直升机紧急救援行动
a2600 heroc	直升机紧急救援行动 (CCE)
a2600 herot	直升机紧急救援行动 (Tron)
a2600 icehockc	冰球 (CCE)
a2600 icehockebc	冰球 (PAL) (Bit Corporation)
a2600 ikari	怒
a2600 ikarie	怒 (PAL)
a2600 indy500e	印第安纳波利斯500 (PAL)
a2600 ixion	回旋炮台 (原型版)
a2600 jbond	詹姆斯邦德007
a2600 joust	鸟骑士
a2600 jouste	鸟骑士 (PAL)
a2600 joustp	鸟骑士 (原型版 19830809)
a2600 joustp1	鸟骑士 (原型版 19830705)
a2600 jrpacman	吃豆小精灵
a2600 jrpacmane	吃豆小精灵 (PAL)
a2600 jumpjack	跳跃杰克 (PAL)
a2600 jungleh	丛林求生记-丛林探险
a2600 junglehc	丛林求生记-丛林探险 (CCE)
a2600 junglehc1	丛林求生记-丛林探险 (CCE, 替换版)
a2600 junglehe	丛林求生记-丛林探险 (PAL)
a2600 junglehp1	丛林求生记-丛林探险 (原型版 19830225)
a2600 junglehp2	丛林求生记-丛林探险 (原型版 19830203)
a2600 kaboom	大爆炸
a2600 kaboomc	大爆炸 (CCE)
a2600 kangaroo	袋鼠
a2600 kangarooe	袋鼠 (PAL)
a2600 kangaroop	袋鼠 (原型版 19830119)
a2600 karate	空手道
a2600 karatee	空手道 (PAL)
a2600 karatee1	空手道 (PAL) (未知)
a2600 keykaper	追捕犯人
a2600 keykaper1	追捕犯人 (未知)
a2600 keykaperdv	追捕犯人 (Digivision)
a2600 keykapere1	追捕犯人 (PAL) (未知)
a2600 keykaperr	追捕犯人 (Robby)
a2600 keykapersv	追捕犯人 (Shock Vision)
a2600 kingarth	亚瑟王 (PAL)
a2600 kingkong	金刚
a2600 kingkonge	金刚 (PAL)
a2600 kingkonge1	金刚 (PAL) (替换版)
a2600 klax	克力斯方块 (PAL)
a2600 klaxp1	克力斯方块 (原型版 19900818)
a2600 klaxp2	克力斯方块 (原型版 19900614)
a2600 krull	异域奇兵
a2600 krullc	异域奇兵 (CCE)
a2600 krullp	异域奇兵 (原型版 19830527)
a2600 kungfu	成龙踢馆-斯巴达X (PAL)
a2600 kungfum	斯巴达X
a2600 kungfumc	功夫大师 (CCE)
a2600 kungfume	斯巴达X (PAL)
a2600 labyrint	旋转滚球 (PAL)
a2600 ladywadn	涉水女士
a2600 laserbas	雷射基地 (PAL)
a2600 laststar	最后的星际斗士 (原型版)
a2600 looping	循环射击 (原型版)
a2600 mafia	黑手党 (PAL)
a2600 marauder	掠夺者
a2600 maraudere	掠夺者 (PAL)
a2600 mario	马里奥兄弟
a2600 marioe	马里奥兄弟 (PAL)
a2600 marioz	马里奥兄弟 (Zirok)
a2600 mash	陆军野战医院
a2600 mashe	陆军野战医院 (PAL)
a2600 megafrce	星际武力
a2600 megafrcee	星际武力 (PAL)
a2600 megafrcee1	星际武力 (PAL) (替换版)
a2600 midmagic	午夜魔法
a2600 midmagice	午夜魔法 (PAL)
a2600 milliped	马陆
a2600 millipede	马陆 (PAL)
a2600 millipedep	马陆 (PAL) (原型版)
a2600 millipedp1	马陆 (原型版 19840104)
a2600 millipedp2	马陆 (原型版 1984xxxx)
a2600 missile	导弹指令
a2600 missile1	导弹指令 (替换版)
a2600 missilee	导弹指令 (PAL)
a2600 missilee1	导弹指令 (PAL) (未知)
a2600 missilep	导弹指令 (原型版)
a2600 mking	山丘之王
a2600 moonswep	月球清道夫
a2600 moonswepa	月球清道夫 (Activision)
a2600 moonswepe	月球清道夫 (PAL)
a2600 motoxrac	越野摩托
a2600 mpatrol	月球侦察队
a2600 mpatrolc	月球侦察队 (CCE)
a2600 mpatrole	月球侦察队 (PAL)
a2600 mpatrolep	月球侦察队 (PAL) (原型版 19830516)
a2600 mpatroli	月球侦察队 (Intellivision)
a2600 mpatrolp1	月球侦察队 (原型版 19830731)
a2600 mpatrolp2	月球侦察队 (原型版 19830726)
a2600 mpatrolp3	月球侦察队 (原型版 19830704)
a2600 mpatrolp4	月球侦察队 (原型版 19830516)
a2600 mpatrolt	月球侦察队 (Tron)
a2600 mrdo	嘟先生
a2600 mrdoe	嘟先生 (PAL)
a2600 mspacman	吃豆女精灵
a2600 mspacmanc	吃豆女精灵 (CCE)
a2600 mspacmane	吃豆女精灵 (PAL)
a2600 mspacmanp	吃豆女精灵 (原型版)
a2600 mtrap	捕鼠器
a2600 mtrape	捕鼠器 (PAL)
a2600 nightmar	噩梦
a2600 nightmare	噩梦 (PAL)
a2600 nitedrvr	夜间赛车
a2600 nitedrvre	夜间赛车 (PAL)
a2600 nstalker	暗夜魔王 (PAL)
a2600 offtwall	疯狂
a2600 offtwalle	疯狂 (PAL)
a2600 omegarac	欧米加竞赛
a2600 opsesamee1	芝麻开门 (PAL)
a2600 othello	奥赛罗棋
a2600 othello1	奥赛罗棋 (替换版)
a2600 othelloe	奥赛罗棋 (PAL)
a2600 othelloe1	奥赛罗棋 (PAL) (替换版)
a2600 outlaw	法外之地-杀手
a2600 pacman	吃豆小精灵
a2600 pacmanc	吃豆人 (CCE)
a2600 pacmanc1	吃豆人 (CCE, 替换版)
a2600 pacmand	吃豆人 (Digitel)
a2600 pacmane	吃豆小精灵 (PAL)
a2600 parachut	跳伞 (PAL)
a2600 peekaboo	躲猫猫 (原型版)
a2600 pengo	碰碰冰
a2600 pengoe	碰碰冰 (PAL)
a2600 pengop	碰碰冰 (原型版)
a2600 phoenix	凤凰
a2600 phoenix1	凤凰 (未知)
a2600 phoenixc	凤凰 (CCE)
a2600 phoenixe	凤凰 (PAL)
a2600 phoenixz	凤凰 (Zirok)
a2600 pitfall2	陷阱 II - 迷失洞穴
a2600 pitfall2a	陷阱 II - 迷失洞穴 (替换版)
a2600 pitfall2e	陷阱 II - 迷失洞穴 (PAL)
a2600 planapes	决战猩球 (原型版)
a2600 polaris	北极星
a2600 polarise	北极星 (PAL)
a2600 polarisp1	北极星 (原型版 19830217)
a2600 polarisp2	北极星 (原型版, 替换版)
a2600 polepos	顶尖赛手
a2600 polepos1	顶尖赛手 (替换版)
a2600 poleposc	顶尖赛手 (CCE)
a2600 polepose	顶尖赛手 (PAL)
a2600 poleposp	顶尖赛手 (原型版 19830515)
a2600 polepost	顶尖赛手 (Tron)
a2600 pompeii	庞贝 弹珠台 (原型版)
a2600 pooyan	猪小弟
a2600 pooyane	猪小弟 (PAL)
a2600 pooyane1	猪小弟 (PAL) (未知)
a2600 popeye	大力水手
a2600 popeyee	大力水手 (PAL)
a2600 popeyep	大力水手 (原型版)
a2600 porkys	波基
a2600 qbert	吸盘小子
a2600 qberte	吸盘小子 (PAL)
a2600 qbertea	吸盘小子 (PAL) (Atari)
a2600 qbertq	Q伯特方块
a2600 quintana	探索金塔纳罗奥
a2600 quintanae	探索金塔纳罗奥 (PAL)
a2600 racing	迅猛赛车 (PAL)
a2600 racing1	迅猛赛车 (未知)
a2600 radarloc	雷达锁定
a2600 radarloce	雷达锁定 (PAL)
a2600 rampage	暴怒
a2600 rampagee	暴怒 (PAL)
a2600 reactor	反应器
a2600 reactore	反应器 (PAL)
a2600 riveraid	运河大战
a2600 riveraidc	运河大战 (CCE)
a2600 riveraidc1	运河大战 (CCE, 替换版)
a2600 riveraidd	运河大战 (Digitel)
a2600 riveraiddv	运河大战 (Digivision)
a2600 riveraide1	运河大战 (PAL) (未知)
a2600 riveraidegg	运河大战 (PAL) (Galaga Games)
a2600 riveraidg	运河大战 (Genus)
a2600 riveraidgg	运河大战 (Galaga Games)
a2600 riveraidpv	运河大战 (Polyvox)
a2600 riveraidr	运河大战 (Robby)
a2600 riveraids	运河大战 (Supergame)
a2600 riveraidsg	运河大战 (Star Game)
a2600 roadrun	哔哔鸟与歪心狼
a2600 roadrunc	哔哔鸟与歪心狼 (CCE)
a2600 roadrune	哔哔鸟与歪心狼 (PAL)
a2600 roadrunp	哔哔鸟与歪心狼 (原型版 19840625)
a2600 robinh	罗宾汉
a2600 robinhe	罗宾汉 (PAL)
a2600 robinheq	罗宾汉 (PAL) (Quelle)
a2600 rocnrope	凤凰猎人
a2600 rocnropee	凤凰猎人 (PAL)
a2600 rpatrol	河岸巡逻
a2600 rsboxing	真实体育-拳击
a2600 rsboxinge	真实体育-拳击 (PAL)
a2600 rushhour	尖峰时刻 (原型版)
a2600 rushhour1	尖峰时刻 (原型版, 替换版)
a2600 rushhour2	尖峰时刻 (原型版, 替换版 2)
a2600 rushhour3	尖峰时刻 (原型版, 替换版 3)
a2600 rushhour4	尖峰时刻 (原型版, 替换版 4)
a2600 rushhour5	尖峰时刻 (原型版, 替换版 5)
a2600 sbrkout	超级打砖王
a2600 sbrkout1	超级打砖王 (替换版)
a2600 sbrkoute	超级打砖王 (PAL)
a2600 scobra	超级眼镜蛇
a2600 scobrae	超级眼镜蛇 (PAL)
a2600 seabattl	大海战
a2600 seahawk	海鹰 (PAL)
a2600 seaquest	海底探险
a2600 seaquestc	海底探险 (CCE)
a2600 seaquestc1	海底探险 (CCE, 替换版)
a2600 seaquestd	海底探险 (Dinatronic)
a2600 seaquestdv	海底探险 (Digivision)
a2600 seaquestdy	海底探险 (Dynacom)
a2600 secretag	间谍末日 (原型版)
a2600 sharkatt	鲨鱼攻击
a2600 sharkatte	鲨鱼攻击 (PAL)
a2600 sinistar	星风血雨 (原型版 19840213)
a2600 sinistar1	星风血雨 (原型版 19840123)
a2600 sinistar2	星风血雨 (原型版 19840104)
a2600 sinistar3	星风血雨 (原型版 1984xxxx)
a2600 sirlance	兰斯洛特
a2600 sirlancee	兰斯洛特 (PAL)
a2600 skihunt	滑雪狩猎 (PAL)
a2600 skiingm	滑雪 (Milmar)
a2600 skydivere	定点跳伞 (PAL)
a2600 skyskipp	天空船长
a2600 skyskippe	天空船长 (PAL)
a2600 slote	老虎机 (PAL)
a2600 smurfssd	蓝精灵拯救世界
a2600 snoopydv	史努比
a2600 snoopyec	史努比 (PAL) (Century)
a2600 snowwhit	白雪公主和七个小矮人 (原型版 19830209)
a2600 snowwhit1	白雪公主和七个小矮人 (原型版 19821109)
a2600 soccer	足球
a2600 solarfox	太阳之狐
a2600 solarfoxe	太阳之狐 (PAL)
a2600 solarfoxp	太阳之狐 (原型版)
a2600 solaris	星际大战
a2600 solarise	星际大战 (PAL)
a2600 solarisp	星际大战 (原型版)
